date,type,TWS
Jan-2002,Terrestrial water storage,
Feb-2002,Terrestrial water storage,
Mar-2002,Terrestrial water storage,
Apr-2002,Terrestrial water storage,169.8741
May-2002,Terrestrial water storage,131.7134
Jun-2002,Terrestrial water storage,
Jul-2002,Terrestrial water storage,
Aug-2002,Terrestrial water storage,120.5069
Sep-2002,Terrestrial water storage,67.3677
Oct-2002,Terrestrial water storage,99.5918
Nov-2002,Terrestrial water storage,105.6633
Dec-2002,Terrestrial water storage,133.8114
Jan-2003,Terrestrial water storage,140.3127
Feb-2003,Terrestrial water storage,109.5298
Mar-2003,Terrestrial water storage,138.7583
Apr-2003,Terrestrial water storage,130.0539
May-2003,Terrestrial water storage,121.9962
Jun-2003,Terrestrial water storage,
Jul-2003,Terrestrial water storage,225.8242
Aug-2003,Terrestrial water storage,101.0221
Sep-2003,Terrestrial water storage,126.568
Oct-2003,Terrestrial water storage,139.559
Nov-2003,Terrestrial water storage,127.599
Dec-2003,Terrestrial water storage,163.0255
Jan-2004,Terrestrial water storage,167.2947
Feb-2004,Terrestrial water storage,121.6911
Mar-2004,Terrestrial water storage,87.5064
Apr-2004,Terrestrial water storage,151.3751
May-2004,Terrestrial water storage,152.0925
Jun-2004,Terrestrial water storage,155.415
Jul-2004,Terrestrial water storage,260.5669
Aug-2004,Terrestrial water storage,96.3255
Sep-2004,Terrestrial water storage,108.6747
Oct-2004,Terrestrial water storage,154.5051
Nov-2004,Terrestrial water storage,104.0091
Dec-2004,Terrestrial water storage,89.1835
Jan-2005,Terrestrial water storage,77.6053
Feb-2005,Terrestrial water storage,95.8161
Mar-2005,Terrestrial water storage,142.2103
Apr-2005,Terrestrial water storage,129.4934
May-2005,Terrestrial water storage,103.1989
Jun-2005,Terrestrial water storage,29.5881
Jul-2005,Terrestrial water storage,34.5946
Aug-2005,Terrestrial water storage,41.8963
Sep-2005,Terrestrial water storage,21.2685
Oct-2005,Terrestrial water storage,64.4039
Nov-2005,Terrestrial water storage,88.6308
Dec-2005,Terrestrial water storage,76.1738
Jan-2006,Terrestrial water storage,58.1158
Feb-2006,Terrestrial water storage,64.7319
Mar-2006,Terrestrial water storage,71.7334
Apr-2006,Terrestrial water storage,31.9569
May-2006,Terrestrial water storage,1.8515
Jun-2006,Terrestrial water storage,134.6049
Jul-2006,Terrestrial water storage,63.5876
Aug-2006,Terrestrial water storage,-23.918
Sep-2006,Terrestrial water storage,2.1336
Oct-2006,Terrestrial water storage,22.3365
Nov-2006,Terrestrial water storage,30.0242
Dec-2006,Terrestrial water storage,48.6965
Jan-2007,Terrestrial water storage,38.6184
Feb-2007,Terrestrial water storage,46.3153
Mar-2007,Terrestrial water storage,81.7987
Apr-2007,Terrestrial water storage,38.5477
May-2007,Terrestrial water storage,77.6947
Jun-2007,Terrestrial water storage,102.9271
Jul-2007,Terrestrial water storage,92.3997
Aug-2007,Terrestrial water storage,173.0367
Sep-2007,Terrestrial water storage,155.3672
Oct-2007,Terrestrial water storage,78.7288
Nov-2007,Terrestrial water storage,68.0129
Dec-2007,Terrestrial water storage,87.006
Jan-2008,Terrestrial water storage,58.3765
Feb-2008,Terrestrial water storage,78.355
Mar-2008,Terrestrial water storage,83.5023
Apr-2008,Terrestrial water storage,76.2986
May-2008,Terrestrial water storage,37.4758
Jun-2008,Terrestrial water storage,70.7226
Jul-2008,Terrestrial water storage,108.8312
Aug-2008,Terrestrial water storage,133.7463
Sep-2008,Terrestrial water storage,81.8958
Oct-2008,Terrestrial water storage,27.7086
Nov-2008,Terrestrial water storage,21.0966
Dec-2008,Terrestrial water storage,20.2663
Jan-2009,Terrestrial water storage,32.2275
Feb-2009,Terrestrial water storage,9.7183
Mar-2009,Terrestrial water storage,33.8174
Apr-2009,Terrestrial water storage,-19.7914
May-2009,Terrestrial water storage,-34.7843
Jun-2009,Terrestrial water storage,-43.6917
Jul-2009,Terrestrial water storage,-107.5403
Aug-2009,Terrestrial water storage,-11.8719
Sep-2009,Terrestrial water storage,-40.3351
Oct-2009,Terrestrial water storage,-39.2918
Nov-2009,Terrestrial water storage,-36.2317
Dec-2009,Terrestrial water storage,-16.8906
Jan-2010,Terrestrial water storage,10.8824
Feb-2010,Terrestrial water storage,-6.7404
Mar-2010,Terrestrial water storage,-36.2173
Apr-2010,Terrestrial water storage,-0.9158
May-2010,Terrestrial water storage,6.522
Jun-2010,Terrestrial water storage,72.2338
Jul-2010,Terrestrial water storage,-6.0219
Aug-2010,Terrestrial water storage,-71.1316
Sep-2010,Terrestrial water storage,-35.7217
Oct-2010,Terrestrial water storage,-21.7658
Nov-2010,Terrestrial water storage,-20.0496
Dec-2010,Terrestrial water storage,18.1608
Jan-2011,Terrestrial water storage,
Feb-2011,Terrestrial water storage,-38.0541
Mar-2011,Terrestrial water storage,-23.8918
Apr-2011,Terrestrial water storage,-18.398
May-2011,Terrestrial water storage,-0.4663
Jun-2011,Terrestrial water storage,
Jul-2011,Terrestrial water storage,20.1173
Aug-2011,Terrestrial water storage,44.1827
Sep-2011,Terrestrial water storage,3.1591
Oct-2011,Terrestrial water storage,22.3584
Nov-2011,Terrestrial water storage,48.3111
Dec-2011,Terrestrial water storage,-25.11
Jan-2012,Terrestrial water storage,2.3479
Feb-2012,Terrestrial water storage,-15.6261
Mar-2012,Terrestrial water storage,-12.7746
Apr-2012,Terrestrial water storage,-6.3977
May-2012,Terrestrial water storage,
Jun-2012,Terrestrial water storage,-42.2004
Jul-2012,Terrestrial water storage,-76.9946
Aug-2012,Terrestrial water storage,-72.8572
Sep-2012,Terrestrial water storage,-39.8407
Oct-2012,Terrestrial water storage,
Nov-2012,Terrestrial water storage,-65.3519
Dec-2012,Terrestrial water storage,-63.3451
Jan-2013,Terrestrial water storage,-23.9896
Feb-2013,Terrestrial water storage,-49.4921
Mar-2013,Terrestrial water storage,
Apr-2013,Terrestrial water storage,-81.2346
May-2013,Terrestrial water storage,-42.1298
Jun-2013,Terrestrial water storage,-7.8475
Jul-2013,Terrestrial water storage,-60.2816
Aug-2013,Terrestrial water storage,
Sep-2013,Terrestrial water storage,
Oct-2013,Terrestrial water storage,-49.6293
Nov-2013,Terrestrial water storage,1.9332
Dec-2013,Terrestrial water storage,-14.3643
Jan-2014,Terrestrial water storage,-37.0073
Feb-2014,Terrestrial water storage,
Mar-2014,Terrestrial water storage,-17.6864
Apr-2014,Terrestrial water storage,-83.3583
May-2014,Terrestrial water storage,-95.6381
Jun-2014,Terrestrial water storage,-119.0002
Jul-2014,Terrestrial water storage,
Aug-2014,Terrestrial water storage,-116.8111
Sep-2014,Terrestrial water storage,-97.1376
Oct-2014,Terrestrial water storage,-103.8575
Nov-2014,Terrestrial water storage,-70.6375
Dec-2014,Terrestrial water storage,
Jan-2015,Terrestrial water storage,-65.9722
Feb-2015,Terrestrial water storage,-60.2769
Mar-2015,Terrestrial water storage,-103.0432
Apr-2015,Terrestrial water storage,-69.8103
May-2015,Terrestrial water storage,-70.5238
Jun-2015,Terrestrial water storage,
Jul-2015,Terrestrial water storage,-73.2024
Aug-2015,Terrestrial water storage,-55.3731
Sep-2015,Terrestrial water storage,0.8145
Oct-2015,Terrestrial water storage,
Nov-2015,Terrestrial water storage,
Dec-2015,Terrestrial water storage,-131.9655
Jan-2016,Terrestrial water storage,-109.7198
Feb-2016,Terrestrial water storage,-62.1271
Mar-2016,Terrestrial water storage,-66.5252
Apr-2016,Terrestrial water storage,
May-2016,Terrestrial water storage,-60.093
Jun-2016,Terrestrial water storage,-54.7912
Jul-2016,Terrestrial water storage,-34.8741
Aug-2016,Terrestrial water storage,-116.0443
Sep-2016,Terrestrial water storage,
Oct-2016,Terrestrial water storage,
Nov-2016,Terrestrial water storage,-56.3515
Dec-2016,Terrestrial water storage,-85.9576
Jan-2017,Terrestrial water storage,-52.8808
Feb-2017,Terrestrial water storage,
Mar-2017,Terrestrial water storage,-47.5374
Apr-2017,Terrestrial water storage,-36.8898
May-2017,Terrestrial water storage,-23.199
Jun-2017,Terrestrial water storage,-80.9992
Jul-2017,Terrestrial water storage,
Aug-2017,Terrestrial water storage,
Sep-2017,Terrestrial water storage,
Oct-2017,Terrestrial water storage,
Nov-2017,Terrestrial water storage,
Dec-2017,Terrestrial water storage,
Jan-2018,Terrestrial water storage,
Feb-2018,Terrestrial water storage,
Mar-2018,Terrestrial water storage,
Apr-2018,Terrestrial water storage,
May-2018,Terrestrial water storage,
Jun-2018,Terrestrial water storage,-16.8987
Jul-2018,Terrestrial water storage,-68.4608
Aug-2018,Terrestrial water storage,
Sep-2018,Terrestrial water storage,
Oct-2018,Terrestrial water storage,-215.5577
Nov-2018,Terrestrial water storage,-141.0149
Dec-2018,Terrestrial water storage,-102.7558
Jan-2019,Terrestrial water storage,-118.0565
Feb-2019,Terrestrial water storage,-92.3196
Mar-2019,Terrestrial water storage,-73.1044
Apr-2019,Terrestrial water storage,-102.5746
May-2019,Terrestrial water storage,-82.4654
Jun-2019,Terrestrial water storage,-143.5021
Jul-2019,Terrestrial water storage,-121.0538
Aug-2019,Terrestrial water storage,-131.026
Sep-2019,Terrestrial water storage,-164.09
Oct-2019,Terrestrial water storage,-84.4802
Nov-2019,Terrestrial water storage,-70.5958
Dec-2019,Terrestrial water storage,-48.7985
Jan-2020,Terrestrial water storage,-41.2687
Feb-2020,Terrestrial water storage,-43.5637
Mar-2020,Terrestrial water storage,-55.5142
Apr-2020,Terrestrial water storage,-97.1382
May-2020,Terrestrial water storage,-58.564
Jun-2020,Terrestrial water storage,25.5556
Jul-2020,Terrestrial water storage,48.7569
Aug-2020,Terrestrial water storage,-11.1795
Sep-2020,Terrestrial water storage,-48.8039
Oct-2020,Terrestrial water storage,-6.0629
Nov-2020,Terrestrial water storage,-56.5854
Dec-2020,Terrestrial water storage,-67.5696
Jan-2021,Terrestrial water storage,-79.621
Feb-2021,Terrestrial water storage,-114.8521
Mar-2021,Terrestrial water storage,-137.0907
Apr-2021,Terrestrial water storage,-152.8228
May-2021,Terrestrial water storage,-148.4585
Jun-2021,Terrestrial water storage,-68.0554
Jul-2021,Terrestrial water storage,-131.657
Aug-2021,Terrestrial water storage,-100.5034
Sep-2021,Terrestrial water storage,-141.3198
Oct-2021,Terrestrial water storage,-88.5466
Nov-2021,Terrestrial water storage,-78.462
Dec-2021,Terrestrial water storage,-79.567
Jan-2022,Terrestrial water storage,-57.2656
Feb-2022,Terrestrial water storage,-43.1058
Mar-2022,Terrestrial water storage,-65.9422
Apr-2022,Terrestrial water storage,-58.2686
May-2022,Terrestrial water storage,-16.2234
Jun-2022,Terrestrial water storage,-14.0608
Jul-2022,Terrestrial water storage,-174.5918
