Date,CLD,source
2005-01-01,0.73853253,CLD
2005-02-01,0.766581748,CLD
2005-03-01,0.618102354,CLD
2005-04-01,0.6476158,CLD
2005-05-01,0.68856494,CLD
2005-06-01,0.780358282,CLD
2005-07-01,0.803252969,CLD
2005-08-01,0.798900688,CLD
2005-09-01,0.705978605,CLD
2005-10-01,0.762429882,CLD
2005-11-01,0.803853525,CLD
2005-12-01,0.755322201,CLD
2006-01-01,0.858086474,CLD
2006-02-01,0.718007711,CLD
2006-03-01,0.716023337,CLD
2006-04-01,0.694093517,CLD
2006-05-01,0.708916135,CLD
2006-06-01,0.851117005,CLD
2006-07-01,0.81786505,CLD
2006-08-01,0.774251202,CLD
2006-09-01,0.729974296,CLD
2006-10-01,0.775250066,CLD
2006-11-01,0.763182697,CLD
2006-12-01,0.752991455,CLD
2007-01-01,0.699944361,CLD
2007-02-01,0.637580813,CLD
2007-03-01,0.742389546,CLD
2007-04-01,0.72538048,CLD
2007-05-01,0.770951964,CLD
2007-06-01,0.776706395,CLD
2007-07-01,0.823757317,CLD
2007-08-01,0.783761351,CLD
2007-09-01,0.714306456,CLD
2007-10-01,0.692660858,CLD
2007-11-01,0.765560762,CLD
2007-12-01,0.863687914,CLD
2008-01-01,0.82902921,CLD
2008-02-01,0.785713357,CLD
2008-03-01,0.698525221,CLD
2008-04-01,0.770053444,CLD
2008-05-01,0.689163905,CLD
2008-06-01,0.802610653,CLD
2008-07-01,0.7594785,CLD
2008-08-01,0.824638751,CLD
2008-09-01,0.636353473,CLD
2008-10-01,0.817346707,CLD
2008-11-01,0.777845927,CLD
2008-12-01,0.831624275,CLD
2009-01-01,0.817232759,CLD
2009-02-01,0.825724614,CLD
2009-03-01,0.676036796,CLD
2009-04-01,0.695170713,CLD
2009-05-01,0.737973246,CLD
2009-06-01,0.75439975,CLD
2009-07-01,0.793146974,CLD
2009-08-01,0.782638791,CLD
2009-09-01,0.676320776,CLD
2009-10-01,0.717958142,CLD
2009-11-01,0.756722911,CLD
2009-12-01,0.682253122,CLD
2010-01-01,0.621313876,CLD
2010-02-01,0.538013641,CLD
2010-03-01,0.66236551,CLD
2010-04-01,0.711509212,CLD
2010-05-01,0.810388185,CLD
2010-06-01,0.799103271,CLD
2010-07-01,0.802811228,CLD
2010-08-01,0.833790169,CLD
2010-09-01,0.754538363,CLD
2010-10-01,0.687022712,CLD
2010-11-01,0.742926087,CLD
2010-12-01,0.590313655,CLD
2011-01-01,0.664488776,CLD
2011-02-01,0.645772635,CLD
2011-03-01,0.650665735,CLD
2011-04-01,0.733704482,CLD
2011-05-01,0.713017286,CLD
2011-06-01,0.771781086,CLD
2011-07-01,0.777322436,CLD
2011-08-01,0.795097423,CLD
2011-09-01,0.711992795,CLD
2011-10-01,0.730451002,CLD
2011-11-01,0.828046333,CLD
2011-12-01,0.850019838,CLD
2012-01-01,0.83569428,CLD
2012-02-01,0.801548445,CLD
2012-03-01,0.690149003,CLD
2012-04-01,0.730164881,CLD
2012-05-01,0.706899039,CLD
2012-06-01,0.807216116,CLD
2012-07-01,0.82417833,CLD
2012-08-01,0.761969344,CLD
2012-09-01,0.598225827,CLD
2012-10-01,0.725015092,CLD
2012-11-01,0.793281093,CLD
2012-12-01,0.689657365,CLD
2013-01-01,0.75759815,CLD
2013-02-01,0.706393369,CLD
2013-03-01,0.653904497,CLD
2013-04-01,0.696642108,CLD
2013-05-01,0.666491927,CLD
2013-06-01,0.830721285,CLD
2013-07-01,0.772827716,CLD
2013-08-01,0.790331525,CLD
2013-09-01,0.731349926,CLD
2013-10-01,0.749931663,CLD
2013-11-01,0.758229886,CLD
2013-12-01,0.784749194,CLD
2014-01-01,0.842519257,CLD
2014-02-01,0.744102375,CLD
2014-03-01,0.677534893,CLD
2014-04-01,0.733623246,CLD
2014-05-01,0.723819312,CLD
2014-06-01,0.824031608,CLD
2014-07-01,0.821897773,CLD
2014-08-01,0.793592945,CLD
2014-09-01,0.668838084,CLD
2014-10-01,0.7722031,CLD
2014-11-01,0.790583802,CLD
2014-12-01,0.820069456,CLD
2015-01-01,0.889381093,CLD
2015-02-01,0.749704898,CLD
2015-03-01,0.747091845,CLD
2015-04-01,0.745864176,CLD
2015-05-01,0.834646265,CLD
2015-06-01,0.89716675,CLD
2015-07-01,0.791719198,CLD
2015-08-01,0.727494438,CLD
2015-09-01,0.715478265,CLD
2015-10-01,0.778532314,CLD
2015-11-01,0.782378776,CLD
2015-12-01,0.752118887,CLD
2016-01-01,0.569778235,CLD
2016-02-01,0.794124662,CLD
2016-03-01,0.660204962,CLD
2016-04-01,0.673689885,CLD
2016-05-01,0.765178096,CLD
2016-06-01,0.751435475,CLD
2016-07-01,0.825964134,CLD
2016-08-01,0.760247242,CLD
2016-09-01,0.721002662,CLD
2016-10-01,0.789947946,CLD
2016-11-01,0.74780777,CLD
2016-12-01,0.85672282,CLD
2017-01-01,0.747737539,CLD
2017-02-01,0.737727747,CLD
2017-03-01,0.757073049,CLD
2017-04-01,0.639607405,CLD
2017-05-01,0.773537871,CLD
2017-06-01,0.781149195,CLD
2017-07-01,0.849734269,CLD
2017-08-01,0.7853701,CLD
2017-09-01,0.738045434,CLD
2017-10-01,0.763428541,CLD
2017-11-01,0.814407029,CLD
2017-12-01,0.844396787,CLD
2018-01-01,0.806671101,CLD
2018-02-01,0.791997866,CLD
2018-03-01,0.648818596,CLD
2018-04-01,0.789395764,CLD
2018-05-01,0.779696915,CLD
2018-06-01,0.828017285,CLD
2018-07-01,0.821200165,CLD
2018-08-01,0.752130317,CLD
2018-09-01,0.680693139,CLD
2018-10-01,0.774526125,CLD
2018-11-01,0.792966695,CLD
2018-12-01,0.730962343,CLD
2019-01-01,0.734419899,CLD
2019-02-01,0.713166007,CLD
2019-03-01,0.596302494,CLD
2019-04-01,0.679975497,CLD
2019-05-01,0.724871447,CLD
2019-06-01,0.773852051,CLD
2019-07-01,0.790102753,CLD
2019-08-01,0.695344825,CLD
2019-09-01,0.725338601,CLD
2019-10-01,0.584128054,CLD
2019-11-01,0.814048684,CLD
2019-12-01,0.73922833,CLD
2020-01-01,0.726739884,CLD
2020-02-01,0.67103003,CLD
2020-03-01,0.642082992,CLD
2020-04-01,0.751670839,CLD
2020-05-01,0.77307499,CLD
2020-06-01,0.769388644,CLD
2020-07-01,0.856516877,CLD
2020-08-01,0.815344409,CLD
2020-09-01,0.715014462,CLD
2020-10-01,0.710801977,CLD
2020-11-01,0.768229251,CLD
2020-12-01,0.883096573,CLD
2021-01-01,0.720955854,CLD
2021-02-01,0.796047342,CLD
2021-03-01,0.710980677,CLD
2021-04-01,0.655254398,CLD
2021-05-01,0.772885056,CLD
2021-06-01,0.78919266,CLD
2021-07-01,0.770675027,CLD
2021-08-01,0.777921933,CLD
2021-09-01,0.713797399,CLD
2021-10-01,0.689038989,CLD
2021-11-01,0.802818117,CLD
2021-12-01,0.847895914,CLD
2022-01-01,0.792466793,CLD
2022-02-01,0.748671331,CLD
2022-03-01,0.778187953,CLD
2022-04-01,0.582421159,CLD
2022-05-01,0.684293797,CLD
2022-06-01,0.834938725,CLD
2022-07-01,0.843581829,CLD
2022-08-01,0.80844074,CLD
2022-09-01,0.730499034,CLD
2022-10-01,0.805522371,CLD
2022-11-01,0.81474317,CLD
2022-12-01,0.707137345,CLD
2005-01-01,0.745297486,Trendline
2005-02-01,0.745353261,Trendline
2005-03-01,0.745403639,Trendline
2005-04-01,0.745459415,Trendline
2005-05-01,0.745513392,Trendline
2005-06-01,0.745569167,Trendline
2005-07-01,0.745623144,Trendline
2005-08-01,0.745678919,Trendline
2005-09-01,0.745734695,Trendline
2005-10-01,0.745788672,Trendline
2005-11-01,0.745844447,Trendline
2005-12-01,0.745898424,Trendline
2006-01-01,0.7459542,Trendline
2006-02-01,0.746009975,Trendline
2006-03-01,0.746060353,Trendline
2006-04-01,0.746116129,Trendline
2006-05-01,0.746170105,Trendline
2006-06-01,0.746225881,Trendline
2006-07-01,0.746279858,Trendline
2006-08-01,0.746335633,Trendline
2006-09-01,0.746391409,Trendline
2006-10-01,0.746445386,Trendline
2006-11-01,0.746501161,Trendline
2006-12-01,0.746555138,Trendline
2007-01-01,0.746610913,Trendline
2007-02-01,0.746666689,Trendline
2007-03-01,0.746717067,Trendline
2007-04-01,0.746772843,Trendline
2007-05-01,0.746826819,Trendline
2007-06-01,0.746882595,Trendline
2007-07-01,0.746936572,Trendline
2007-08-01,0.746992347,Trendline
2007-09-01,0.747048123,Trendline
2007-10-01,0.7471021,Trendline
2007-11-01,0.747157875,Trendline
2007-12-01,0.747211852,Trendline
2008-01-01,0.747267627,Trendline
2008-02-01,0.747323403,Trendline
2008-03-01,0.74737558,Trendline
2008-04-01,0.747431356,Trendline
2008-05-01,0.747485333,Trendline
2008-06-01,0.747541108,Trendline
2008-07-01,0.747595085,Trendline
2008-08-01,0.747650861,Trendline
2008-09-01,0.747706636,Trendline
2008-10-01,0.747760613,Trendline
2008-11-01,0.747816388,Trendline
2008-12-01,0.747870365,Trendline
2009-01-01,0.747926141,Trendline
2009-02-01,0.747981916,Trendline
2009-03-01,0.748032294,Trendline
2009-04-01,0.74808807,Trendline
2009-05-01,0.748142047,Trendline
2009-06-01,0.748197822,Trendline
2009-07-01,0.748251799,Trendline
2009-08-01,0.748307574,Trendline
2009-09-01,0.74836335,Trendline
2009-10-01,0.748417327,Trendline
2009-11-01,0.748473102,Trendline
2009-12-01,0.748527079,Trendline
2010-01-01,0.748582855,Trendline
2010-02-01,0.74863863,Trendline
2010-03-01,0.748689008,Trendline
2010-04-01,0.748744784,Trendline
2010-05-01,0.748798761,Trendline
2010-06-01,0.748854536,Trendline
2010-07-01,0.748908513,Trendline
2010-08-01,0.748964288,Trendline
2010-09-01,0.749020064,Trendline
2010-10-01,0.749074041,Trendline
2010-11-01,0.749129816,Trendline
2010-12-01,0.749183793,Trendline
2011-01-01,0.749239569,Trendline
2011-02-01,0.749295344,Trendline
2011-03-01,0.749345722,Trendline
2011-04-01,0.749401498,Trendline
2011-05-01,0.749455475,Trendline
2011-06-01,0.74951125,Trendline
2011-07-01,0.749565227,Trendline
2011-08-01,0.749621002,Trendline
2011-09-01,0.749676778,Trendline
2011-10-01,0.749730755,Trendline
2011-11-01,0.74978653,Trendline
2011-12-01,0.749840507,Trendline
2012-01-01,0.749896283,Trendline
2012-02-01,0.749952058,Trendline
2012-03-01,0.750004236,Trendline
2012-04-01,0.750060011,Trendline
2012-05-01,0.750113988,Trendline
2012-06-01,0.750169763,Trendline
2012-07-01,0.75022374,Trendline
2012-08-01,0.750279516,Trendline
2012-09-01,0.750335291,Trendline
2012-10-01,0.750389268,Trendline
2012-11-01,0.750445044,Trendline
2012-12-01,0.75049902,Trendline
2013-01-01,0.750554796,Trendline
2013-02-01,0.750610571,Trendline
2013-03-01,0.750660949,Trendline
2013-04-01,0.750716725,Trendline
2013-05-01,0.750770702,Trendline
2013-06-01,0.750826477,Trendline
2013-07-01,0.750880454,Trendline
2013-08-01,0.75093623,Trendline
2013-09-01,0.750992005,Trendline
2013-10-01,0.751045982,Trendline
2013-11-01,0.751101757,Trendline
2013-12-01,0.751155734,Trendline
2014-01-01,0.75121151,Trendline
2014-02-01,0.751267285,Trendline
2014-03-01,0.751317663,Trendline
2014-04-01,0.751373439,Trendline
2014-05-01,0.751427416,Trendline
2014-06-01,0.751483191,Trendline
2014-07-01,0.751537168,Trendline
2014-08-01,0.751592944,Trendline
2014-09-01,0.751648719,Trendline
2014-10-01,0.751702696,Trendline
2014-11-01,0.751758471,Trendline
2014-12-01,0.751812448,Trendline
2015-01-01,0.751868224,Trendline
2015-02-01,0.751923999,Trendline
2015-03-01,0.751974377,Trendline
2015-04-01,0.752030153,Trendline
2015-05-01,0.75208413,Trendline
2015-06-01,0.752139905,Trendline
2015-07-01,0.752193882,Trendline
2015-08-01,0.752249658,Trendline
2015-09-01,0.752305433,Trendline
2015-10-01,0.75235941,Trendline
2015-11-01,0.752415185,Trendline
2015-12-01,0.752469162,Trendline
2016-01-01,0.752524938,Trendline
2016-02-01,0.752580713,Trendline
2016-03-01,0.752632891,Trendline
2016-04-01,0.752688666,Trendline
2016-05-01,0.752742643,Trendline
2016-06-01,0.752798418,Trendline
2016-07-01,0.752852395,Trendline
2016-08-01,0.752908171,Trendline
2016-09-01,0.752963946,Trendline
2016-10-01,0.753017923,Trendline
2016-11-01,0.753073699,Trendline
2016-12-01,0.753127675,Trendline
2017-01-01,0.753183451,Trendline
2017-02-01,0.753239227,Trendline
2017-03-01,0.753289605,Trendline
2017-04-01,0.75334538,Trendline
2017-05-01,0.753399357,Trendline
2017-06-01,0.753455132,Trendline
2017-07-01,0.753509109,Trendline
2017-08-01,0.753564885,Trendline
2017-09-01,0.75362066,Trendline
2017-10-01,0.753674637,Trendline
2017-11-01,0.753730413,Trendline
2017-12-01,0.753784389,Trendline
2018-01-01,0.753840165,Trendline
2018-02-01,0.75389594,Trendline
2018-03-01,0.753946319,Trendline
2018-04-01,0.754002094,Trendline
2018-05-01,0.754056071,Trendline
2018-06-01,0.754111846,Trendline
2018-07-01,0.754165823,Trendline
2018-08-01,0.754221599,Trendline
2018-09-01,0.754277374,Trendline
2018-10-01,0.754331351,Trendline
2018-11-01,0.754387127,Trendline
2018-12-01,0.754441103,Trendline
2019-01-01,0.754496879,Trendline
2019-02-01,0.754552654,Trendline
2019-03-01,0.754603032,Trendline
2019-04-01,0.754658808,Trendline
2019-05-01,0.754712785,Trendline
2019-06-01,0.75476856,Trendline
2019-07-01,0.754822537,Trendline
2019-08-01,0.754878313,Trendline
2019-09-01,0.754934088,Trendline
2019-10-01,0.754988065,Trendline
2019-11-01,0.75504384,Trendline
2019-12-01,0.755097817,Trendline
2020-01-01,0.755153593,Trendline
2020-02-01,0.755209368,Trendline
2020-03-01,0.755261546,Trendline
2020-04-01,0.755317321,Trendline
2020-05-01,0.755371298,Trendline
2020-06-01,0.755427074,Trendline
2020-07-01,0.75548105,Trendline
2020-08-01,0.755536826,Trendline
2020-09-01,0.755592601,Trendline
2020-10-01,0.755646578,Trendline
2020-11-01,0.755702354,Trendline
2020-12-01,0.75575633,Trendline
2021-01-01,0.755812106,Trendline
2021-02-01,0.755867882,Trendline
2021-03-01,0.75591826,Trendline
2021-04-01,0.755974035,Trendline
2021-05-01,0.756028012,Trendline
2021-06-01,0.756083788,Trendline
2021-07-01,0.756137764,Trendline
2021-08-01,0.75619354,Trendline
2021-09-01,0.756249315,Trendline
2021-10-01,0.756303292,Trendline
2021-11-01,0.756359068,Trendline
2021-12-01,0.756413044,Trendline
2022-01-01,0.75646882,Trendline
2022-02-01,0.756524596,Trendline
2022-03-01,0.756574974,Trendline
2022-04-01,0.756630749,Trendline
2022-05-01,0.756684726,Trendline
2022-06-01,0.756740502,Trendline
2022-07-01,0.756794478,Trendline
2022-08-01,0.756850254,Trendline
2022-09-01,0.756906029,Trendline
2022-10-01,0.756960006,Trendline
2022-11-01,0.757015782,Trendline
2022-12-01,0.757069758,Trendline