Date,Sea Surface Temperature,source
2005-01-01,25.975624,Sea Surface Temperature
2005-02-01,25.408068,Sea Surface Temperature
2005-03-01,25.357285,Sea Surface Temperature
2005-04-01,25.772415,Sea Surface Temperature
2005-05-01,26.208021,Sea Surface Temperature
2005-06-01,27.072193,Sea Surface Temperature
2005-07-01,27.95084,Sea Surface Temperature
2005-08-01,28.11961,Sea Surface Temperature
2005-09-01,28.409267,Sea Surface Temperature
2005-10-01,28.253344,Sea Surface Temperature
2005-11-01,27.654669,Sea Surface Temperature
2005-12-01,27.309452,Sea Surface Temperature
2006-01-01,26.249058,Sea Surface Temperature
2006-02-01,25.345095,Sea Surface Temperature
2006-03-01,24.635012,Sea Surface Temperature
2006-04-01,25.25166,Sea Surface Temperature
2006-05-01,25.847986,Sea Surface Temperature
2006-06-01,26.158772,Sea Surface Temperature
2006-07-01,26.991634,Sea Surface Temperature
2006-08-01,27.753658,Sea Surface Temperature
2006-09-01,28.326221,Sea Surface Temperature
2006-10-01,28.391623,Sea Surface Temperature
2006-11-01,27.948816,Sea Surface Temperature
2006-12-01,26.709953,Sea Surface Temperature
2007-01-01,25.564741,Sea Surface Temperature
2007-02-01,25.374332,Sea Surface Temperature
2007-03-01,24.970413,Sea Surface Temperature
2007-04-01,25.33459,Sea Surface Temperature
2007-05-01,25.684875,Sea Surface Temperature
2007-06-01,26.002365,Sea Surface Temperature
2007-07-01,26.903168,Sea Surface Temperature
2007-08-01,27.207912,Sea Surface Temperature
2007-09-01,28.063194,Sea Surface Temperature
2007-10-01,27.871958,Sea Surface Temperature
2007-11-01,27.226152,Sea Surface Temperature
2007-12-01,26.358316,Sea Surface Temperature
2008-01-01,25.49973,Sea Surface Temperature
2008-02-01,24.947266,Sea Surface Temperature
2008-03-01,25.242998,Sea Surface Temperature
2008-04-01,25.366827,Sea Surface Temperature
2008-05-01,26.009302,Sea Surface Temperature
2008-06-01,26.487427,Sea Surface Temperature
2008-07-01,27.46435,Sea Surface Temperature
2008-08-01,27.836569,Sea Surface Temperature
2008-09-01,28.384844,Sea Surface Temperature
2008-10-01,28.344202,Sea Surface Temperature
2008-11-01,27.850214,Sea Surface Temperature
2008-12-01,27.475111,Sea Surface Temperature
2009-01-01,25.828121,Sea Surface Temperature
2009-02-01,24.397333,Sea Surface Temperature
2009-03-01,24.335106,Sea Surface Temperature
2009-04-01,24.568295,Sea Surface Temperature
2009-05-01,24.73133,Sea Surface Temperature
2009-06-01,25.614996,Sea Surface Temperature
2009-07-01,26.960672,Sea Surface Temperature
2009-08-01,27.709517,Sea Surface Temperature
2009-09-01,28.236351,Sea Surface Temperature
2009-10-01,28.396128,Sea Surface Temperature
2009-11-01,27.77527,Sea Surface Temperature
2009-12-01,26.86088,Sea Surface Temperature
2010-01-01,26.082642,Sea Surface Temperature
2010-02-01,25.976665,Sea Surface Temperature
2010-03-01,26.016567,Sea Surface Temperature
2010-04-01,26.545822,Sea Surface Temperature
2010-05-01,26.8253,Sea Surface Temperature
2010-06-01,27.288366,Sea Surface Temperature
2010-07-01,28.314964,Sea Surface Temperature
2010-08-01,28.159758,Sea Surface Temperature
2010-09-01,28.620861,Sea Surface Temperature
2010-10-01,28.860994,Sea Surface Temperature
2010-11-01,28.256199,Sea Surface Temperature
2010-12-01,27.476015,Sea Surface Temperature
2011-01-01,26.336552,Sea Surface Temperature
2011-02-01,25.402452,Sea Surface Temperature
2011-03-01,25.253742,Sea Surface Temperature
2011-04-01,25.391384,Sea Surface Temperature
2011-05-01,25.688004,Sea Surface Temperature
2011-06-01,26.51738,Sea Surface Temperature
2011-07-01,27.317646,Sea Surface Temperature
2011-08-01,27.90975,Sea Surface Temperature
2011-09-01,28.092522,Sea Surface Temperature
2011-10-01,28.55323,Sea Surface Temperature
2011-11-01,27.320295,Sea Surface Temperature
2011-12-01,26.542707,Sea Surface Temperature
2012-01-01,25.458656,Sea Surface Temperature
2012-02-01,24.503653,Sea Surface Temperature
2012-03-01,24.256918,Sea Surface Temperature
2012-04-01,24.739405,Sea Surface Temperature
2012-05-01,25.123856,Sea Surface Temperature
2012-06-01,26.219465,Sea Surface Temperature
2012-07-01,27.213408,Sea Surface Temperature
2012-08-01,27.690166,Sea Surface Temperature
2012-09-01,28.317978,Sea Surface Temperature
2012-10-01,28.450298,Sea Surface Temperature
2012-11-01,28.407776,Sea Surface Temperature
2012-12-01,26.79096,Sea Surface Temperature
2013-01-01,25.58646,Sea Surface Temperature
2013-02-01,25.158062,Sea Surface Temperature
2013-03-01,25.431002,Sea Surface Temperature
2013-04-01,25.765347,Sea Surface Temperature
2013-05-01,26.036638,Sea Surface Temperature
2013-06-01,26.194918,Sea Surface Temperature
2013-07-01,27.183435,Sea Surface Temperature
2013-08-01,27.754227,Sea Surface Temperature
2013-09-01,28.539383,Sea Surface Temperature
2013-10-01,28.318676,Sea Surface Temperature
2013-11-01,27.422226,Sea Surface Temperature
2013-12-01,26.903297,Sea Surface Temperature
2014-01-01,25.725931,Sea Surface Temperature
2014-02-01,24.670586,Sea Surface Temperature
2014-03-01,24.79836,Sea Surface Temperature
2014-04-01,24.66502,Sea Surface Temperature
2014-05-01,25.338087,Sea Surface Temperature
2014-06-01,25.678698,Sea Surface Temperature
2014-07-01,26.57367,Sea Surface Temperature
2014-08-01,27.442879,Sea Surface Temperature
2014-09-01,28.305172,Sea Surface Temperature
2014-10-01,28.306185,Sea Surface Temperature
2014-11-01,27.258738,Sea Surface Temperature
2014-12-01,26.610628,Sea Surface Temperature
2015-01-01,25.359379,Sea Surface Temperature
2015-02-01,24.931892,Sea Surface Temperature
2015-03-01,24.639977,Sea Surface Temperature
2015-04-01,24.41228,Sea Surface Temperature
2015-05-01,25.103117,Sea Surface Temperature
2015-06-01,25.615297,Sea Surface Temperature
2015-07-01,27.063175,Sea Surface Temperature
2015-08-01,27.771017,Sea Surface Temperature
2015-09-01,28.165304,Sea Surface Temperature
2015-10-01,28.598402,Sea Surface Temperature
2015-11-01,27.694958,Sea Surface Temperature
2015-12-01,26.559294,Sea Surface Temperature
2016-01-01,25.974285,Sea Surface Temperature
2016-02-01,25.51116,Sea Surface Temperature
2016-03-01,25.55596,Sea Surface Temperature
2016-04-01,25.477842,Sea Surface Temperature
2016-05-01,25.983847,Sea Surface Temperature
2016-06-01,26.36364,Sea Surface Temperature
2016-07-01,27.396772,Sea Surface Temperature
2016-08-01,27.749054,Sea Surface Temperature
2016-09-01,28.40847,Sea Surface Temperature
2016-10-01,28.84744,Sea Surface Temperature
2016-11-01,28.246656,Sea Surface Temperature
2016-12-01,26.815956,Sea Surface Temperature
2017-01-01,26.288744,Sea Surface Temperature
2017-02-01,24.94272,Sea Surface Temperature
2017-03-01,24.78578,Sea Surface Temperature
2017-04-01,25.420702,Sea Surface Temperature
2017-05-01,25.999313,Sea Surface Temperature
2017-06-01,26.996012,Sea Surface Temperature
2017-07-01,27.644518,Sea Surface Temperature
2017-08-01,27.891752,Sea Surface Temperature
2017-09-01,28.034554,Sea Surface Temperature
2017-10-01,27.800917,Sea Surface Temperature
2017-11-01,27.851637,Sea Surface Temperature
2017-12-01,27.011847,Sea Surface Temperature
2018-01-01,25.41526,Sea Surface Temperature
2018-02-01,25.286674,Sea Surface Temperature
2018-03-01,24.883064,Sea Surface Temperature
2018-04-01,24.809694,Sea Surface Temperature
2018-05-01,24.969076,Sea Surface Temperature
2018-06-01,25.448954,Sea Surface Temperature
2018-07-01,26.581911,Sea Surface Temperature
2018-08-01,27.806067,Sea Surface Temperature
2018-09-01,27.872496,Sea Surface Temperature
2018-10-01,28.162453,Sea Surface Temperature
2018-11-01,27.520395,Sea Surface Temperature
2018-12-01,26.618761,Sea Surface Temperature
2019-01-01,26.043114,Sea Surface Temperature
2019-02-01,25.285934,Sea Surface Temperature
2019-03-01,24.807755,Sea Surface Temperature
2019-04-01,25.069368,Sea Surface Temperature
2019-05-01,25.613726,Sea Surface Temperature
2019-06-01,25.907026,Sea Surface Temperature
2019-07-01,26.87463,Sea Surface Temperature
2019-08-01,27.602333,Sea Surface Temperature
2019-09-01,28.362045,Sea Surface Temperature
2019-10-01,28.501467,Sea Surface Temperature
2019-11-01,27.56658,Sea Surface Temperature
2019-12-01,26.538343,Sea Surface Temperature
2020-01-01,25.74355,Sea Surface Temperature
2020-02-01,25.370977,Sea Surface Temperature
2020-03-01,25.618702,Sea Surface Temperature
2020-04-01,25.80483,Sea Surface Temperature
2020-05-01,25.988647,Sea Surface Temperature
2020-06-01,26.977024,Sea Surface Temperature
2020-07-01,27.905762,Sea Surface Temperature
2020-08-01,27.72427,Sea Surface Temperature
2020-09-01,28.51885,Sea Surface Temperature
2020-10-01,28.464428,Sea Surface Temperature
2020-11-01,27.989172,Sea Surface Temperature
2020-12-01,27.002254,Sea Surface Temperature
2021-01-01,26.402409,Sea Surface Temperature
2021-02-01,25.352192,Sea Surface Temperature
2021-03-01,25.237732,Sea Surface Temperature
2021-04-01,25.142063,Sea Surface Temperature
2021-05-01,25.626778,Sea Surface Temperature
2021-06-01,26.36041,Sea Surface Temperature
2021-07-01,27.14324,Sea Surface Temperature
2021-08-01,27.897789,Sea Surface Temperature
2021-09-01,28.277164,Sea Surface Temperature
2021-10-01,28.051418,Sea Surface Temperature
2021-11-01,28.062376,Sea Surface Temperature
2021-12-01,26.611305,Sea Surface Temperature
2022-01-01,26.490803,Sea Surface Temperature
2022-02-01,25.534632,Sea Surface Temperature
2022-03-01,24.755684,Sea Surface Temperature
2022-04-01,25.458363,Sea Surface Temperature
2022-05-01,25.922518,Sea Surface Temperature
2022-06-01,26.582855,Sea Surface Temperature
2022-07-01,27.107473,Sea Surface Temperature
2022-08-01,27.993235,Sea Surface Temperature
2022-09-01,28.37603,Sea Surface Temperature
2022-10-01,28.231123,Sea Surface Temperature
2022-11-01,27.430464,Sea Surface Temperature
2022-12-01,26.531599,Sea Surface Temperature