Date,Wet Dust Deposition,source
2005-01-01,4.80E-10,Wet Dust Deposition
2005-02-01,2.41E-10,Wet Dust Deposition
2005-03-01,9.89E-11,Wet Dust Deposition
2005-04-01,1.66E-10,Wet Dust Deposition
2005-05-01,3.88E-10,Wet Dust Deposition
2005-06-01,5.44E-10,Wet Dust Deposition
2005-07-01,4.64E-10,Wet Dust Deposition
2005-08-01,3.87E-10,Wet Dust Deposition
2005-09-01,3.80E-10,Wet Dust Deposition
2005-10-01,2.69E-10,Wet Dust Deposition
2005-11-01,2.54E-10,Wet Dust Deposition
2005-12-01,1.74E-10,Wet Dust Deposition
2006-01-01,2.23E-10,Wet Dust Deposition
2006-02-01,1.13E-10,Wet Dust Deposition
2006-03-01,1.78E-10,Wet Dust Deposition
2006-04-01,2.14E-10,Wet Dust Deposition
2006-05-01,1.73E-10,Wet Dust Deposition
2006-06-01,5.24E-10,Wet Dust Deposition
2006-07-01,4.77E-10,Wet Dust Deposition
2006-08-01,3.29E-10,Wet Dust Deposition
2006-09-01,2.91E-10,Wet Dust Deposition
2006-10-01,2.53E-10,Wet Dust Deposition
2006-11-01,1.94E-10,Wet Dust Deposition
2006-12-01,2.37E-10,Wet Dust Deposition
2007-01-01,4.51E-10,Wet Dust Deposition
2007-02-01,1.88E-10,Wet Dust Deposition
2007-03-01,2.00E-10,Wet Dust Deposition
2007-04-01,1.92E-10,Wet Dust Deposition
2007-05-01,2.85E-10,Wet Dust Deposition
2007-06-01,4.75E-10,Wet Dust Deposition
2007-07-01,4.92E-10,Wet Dust Deposition
2007-08-01,2.99E-10,Wet Dust Deposition
2007-09-01,3.43E-10,Wet Dust Deposition
2007-10-01,2.05E-10,Wet Dust Deposition
2007-11-01,2.99E-10,Wet Dust Deposition
2007-12-01,2.73E-10,Wet Dust Deposition
2008-01-01,3.50E-10,Wet Dust Deposition
2008-02-01,2.63E-10,Wet Dust Deposition
2008-03-01,2.20E-10,Wet Dust Deposition
2008-04-01,3.04E-10,Wet Dust Deposition
2008-05-01,1.97E-10,Wet Dust Deposition
2008-06-01,3.65E-10,Wet Dust Deposition
2008-07-01,4.20E-10,Wet Dust Deposition
2008-08-01,3.35E-10,Wet Dust Deposition
2008-09-01,2.63E-10,Wet Dust Deposition
2008-10-01,5.15E-10,Wet Dust Deposition
2008-11-01,3.59E-10,Wet Dust Deposition
2008-12-01,3.42E-10,Wet Dust Deposition
2009-01-01,1.70E-10,Wet Dust Deposition
2009-02-01,1.45E-10,Wet Dust Deposition
2009-03-01,6.48E-11,Wet Dust Deposition
2009-04-01,9.55E-11,Wet Dust Deposition
2009-05-01,1.52E-10,Wet Dust Deposition
2009-06-01,3.62E-10,Wet Dust Deposition
2009-07-01,4.42E-10,Wet Dust Deposition
2009-08-01,2.67E-10,Wet Dust Deposition
2009-09-01,2.93E-10,Wet Dust Deposition
2009-10-01,2.23E-10,Wet Dust Deposition
2009-11-01,2.51E-10,Wet Dust Deposition
2009-12-01,9.39E-11,Wet Dust Deposition
2010-01-01,1.25E-10,Wet Dust Deposition
2010-02-01,4.70E-11,Wet Dust Deposition
2010-03-01,1.69E-10,Wet Dust Deposition
2010-04-01,2.18E-10,Wet Dust Deposition
2010-05-01,3.94E-10,Wet Dust Deposition
2010-06-01,4.00E-10,Wet Dust Deposition
2010-07-01,5.51E-10,Wet Dust Deposition
2010-08-01,3.32E-10,Wet Dust Deposition
2010-09-01,1.98E-10,Wet Dust Deposition
2010-10-01,2.37E-10,Wet Dust Deposition
2010-11-01,2.34E-10,Wet Dust Deposition
2010-12-01,5.67E-11,Wet Dust Deposition
2011-01-01,1.41E-10,Wet Dust Deposition
2011-02-01,1.71E-10,Wet Dust Deposition
2011-03-01,5.38E-11,Wet Dust Deposition
2011-04-01,1.89E-10,Wet Dust Deposition
2011-05-01,2.09E-10,Wet Dust Deposition
2011-06-01,3.02E-10,Wet Dust Deposition
2011-07-01,4.12E-10,Wet Dust Deposition
2011-08-01,4.54E-10,Wet Dust Deposition
2011-09-01,2.32E-10,Wet Dust Deposition
2011-10-01,3.63E-10,Wet Dust Deposition
2011-11-01,2.25E-10,Wet Dust Deposition
2011-12-01,4.26E-10,Wet Dust Deposition
2012-01-01,3.47E-10,Wet Dust Deposition
2012-02-01,3.98E-10,Wet Dust Deposition
2012-03-01,9.29E-11,Wet Dust Deposition
2012-04-01,1.87E-10,Wet Dust Deposition
2012-05-01,3.87E-10,Wet Dust Deposition
2012-06-01,4.16E-10,Wet Dust Deposition
2012-07-01,3.51E-10,Wet Dust Deposition
2012-08-01,2.93E-10,Wet Dust Deposition
2012-09-01,1.94E-10,Wet Dust Deposition
2012-10-01,1.83E-10,Wet Dust Deposition
2012-11-01,9.74E-11,Wet Dust Deposition
2012-12-01,1.60E-10,Wet Dust Deposition
2013-01-01,1.60E-10,Wet Dust Deposition
2013-02-01,1.47E-10,Wet Dust Deposition
2013-03-01,5.34E-11,Wet Dust Deposition
2013-04-01,8.41E-11,Wet Dust Deposition
2013-05-01,1.86E-10,Wet Dust Deposition
2013-06-01,3.62E-10,Wet Dust Deposition
2013-07-01,3.21E-10,Wet Dust Deposition
2013-08-01,3.49E-10,Wet Dust Deposition
2013-09-01,2.88E-10,Wet Dust Deposition
2013-10-01,1.94E-10,Wet Dust Deposition
2013-11-01,1.17E-10,Wet Dust Deposition
2013-12-01,4.34E-10,Wet Dust Deposition
2014-01-01,1.92E-10,Wet Dust Deposition
2014-02-01,6.04E-11,Wet Dust Deposition
2014-03-01,9.72E-11,Wet Dust Deposition
2014-04-01,8.83E-11,Wet Dust Deposition
2014-05-01,2.18E-10,Wet Dust Deposition
2014-06-01,4.52E-10,Wet Dust Deposition
2014-07-01,2.68E-10,Wet Dust Deposition
2014-08-01,2.77E-10,Wet Dust Deposition
2014-09-01,2.26E-10,Wet Dust Deposition
2014-10-01,2.31E-10,Wet Dust Deposition
2014-11-01,1.77E-10,Wet Dust Deposition
2014-12-01,3.94E-10,Wet Dust Deposition
2015-01-01,4.12E-10,Wet Dust Deposition
2015-02-01,1.39E-10,Wet Dust Deposition
2015-03-01,1.68E-10,Wet Dust Deposition
2015-04-01,1.87E-10,Wet Dust Deposition
2015-05-01,2.38E-10,Wet Dust Deposition
2015-06-01,4.74E-10,Wet Dust Deposition
2015-07-01,2.66E-10,Wet Dust Deposition
2015-08-01,2.21E-10,Wet Dust Deposition
2015-09-01,1.99E-10,Wet Dust Deposition
2015-10-01,1.33E-10,Wet Dust Deposition
2015-11-01,1.82E-10,Wet Dust Deposition
2015-12-01,5.14E-10,Wet Dust Deposition
2016-01-01,1.57E-10,Wet Dust Deposition
2016-02-01,3.23E-10,Wet Dust Deposition
2016-03-01,1.54E-10,Wet Dust Deposition
2016-04-01,8.91E-11,Wet Dust Deposition
2016-05-01,2.02E-10,Wet Dust Deposition
2016-06-01,3.24E-10,Wet Dust Deposition
2016-07-01,3.71E-10,Wet Dust Deposition
2016-08-01,2.82E-10,Wet Dust Deposition
2016-09-01,2.28E-10,Wet Dust Deposition
2016-10-01,1.74E-10,Wet Dust Deposition
2016-11-01,1.28E-10,Wet Dust Deposition
2016-12-01,3.22E-10,Wet Dust Deposition
2017-01-01,1.81E-10,Wet Dust Deposition
2017-02-01,1.08E-10,Wet Dust Deposition
2017-03-01,2.00E-10,Wet Dust Deposition
2017-04-01,9.62E-11,Wet Dust Deposition
2017-05-01,2.93E-10,Wet Dust Deposition
2017-06-01,3.48E-10,Wet Dust Deposition
2017-07-01,3.58E-10,Wet Dust Deposition
2017-08-01,2.58E-10,Wet Dust Deposition
2017-09-01,2.95E-10,Wet Dust Deposition
2017-10-01,4.52E-10,Wet Dust Deposition
2017-11-01,3.02E-10,Wet Dust Deposition
2017-12-01,6.88E-10,Wet Dust Deposition
2018-01-01,3.58E-10,Wet Dust Deposition
2018-02-01,1.40E-10,Wet Dust Deposition
2018-03-01,1.05E-10,Wet Dust Deposition
2018-04-01,1.79E-10,Wet Dust Deposition
2018-05-01,1.81E-10,Wet Dust Deposition
2018-06-01,5.41E-10,Wet Dust Deposition
2018-07-01,5.40E-10,Wet Dust Deposition
2018-08-01,3.32E-10,Wet Dust Deposition
2018-09-01,4.05E-10,Wet Dust Deposition
2018-10-01,3.09E-10,Wet Dust Deposition
2018-11-01,1.78E-10,Wet Dust Deposition
2018-12-01,2.35E-10,Wet Dust Deposition
2019-01-01,1.82E-10,Wet Dust Deposition
2019-02-01,1.56E-10,Wet Dust Deposition
2019-03-01,1.39E-10,Wet Dust Deposition
2019-04-01,1.28E-10,Wet Dust Deposition
2019-05-01,1.39E-10,Wet Dust Deposition
2019-06-01,3.72E-10,Wet Dust Deposition
2019-07-01,3.36E-10,Wet Dust Deposition
2019-08-01,2.14E-10,Wet Dust Deposition
2019-09-01,2.36E-10,Wet Dust Deposition
2019-10-01,3.31E-10,Wet Dust Deposition
2019-11-01,2.64E-10,Wet Dust Deposition
2019-12-01,2.59E-10,Wet Dust Deposition
2020-01-01,4.07E-10,Wet Dust Deposition
2020-02-01,1.35E-10,Wet Dust Deposition
2020-03-01,1.20E-10,Wet Dust Deposition
2020-04-01,1.80E-10,Wet Dust Deposition
2020-05-01,1.77E-10,Wet Dust Deposition
2020-06-01,6.59E-10,Wet Dust Deposition
2020-07-01,4.87E-10,Wet Dust Deposition
2020-08-01,2.84E-10,Wet Dust Deposition
2020-09-01,1.73E-10,Wet Dust Deposition
2020-10-01,2.62E-10,Wet Dust Deposition
2020-11-01,2.30E-10,Wet Dust Deposition
2020-12-01,2.01E-10,Wet Dust Deposition
2021-01-01,2.66E-10,Wet Dust Deposition
2021-02-01,2.66E-10,Wet Dust Deposition
2021-03-01,2.38E-10,Wet Dust Deposition
2021-04-01,1.36E-10,Wet Dust Deposition
2021-05-01,2.57E-10,Wet Dust Deposition
2021-06-01,4.39E-10,Wet Dust Deposition
2021-07-01,3.34E-10,Wet Dust Deposition
2021-08-01,2.97E-10,Wet Dust Deposition
2021-09-01,3.22E-10,Wet Dust Deposition
2021-10-01,3.43E-10,Wet Dust Deposition
2021-11-01,1.62E-10,Wet Dust Deposition
2021-12-01,3.77E-10,Wet Dust Deposition
2022-01-01,2.10E-10,Wet Dust Deposition
2022-02-01,3.41E-10,Wet Dust Deposition
2022-03-01,2.46E-10,Wet Dust Deposition
2022-04-01,1.82E-10,Wet Dust Deposition
2022-05-01,2.31E-10,Wet Dust Deposition
2022-06-01,4.99E-10,Wet Dust Deposition
2022-07-01,3.76E-10,Wet Dust Deposition
2022-08-01,2.44E-10,Wet Dust Deposition
2022-09-01,2.22E-10,Wet Dust Deposition
2022-10-01,2.61E-10,Wet Dust Deposition
2022-11-01,2.44E-10,Wet Dust Deposition
2022-12-01,2.10E-10,Wet Dust Deposition