Date,Precipitation,source
2005-01-01,1.38E-05,Total Precipitation
2005-02-01,4.84E-06,Total Precipitation
2005-03-01,1.74E-06,Total Precipitation
2005-04-01,3.75E-06,Total Precipitation
2005-05-01,2.68E-05,Total Precipitation
2005-06-01,8.96E-05,Total Precipitation
2005-07-01,0.000106054,Total Precipitation
2005-08-01,0.00013738466,Total Precipitation
2005-09-01,0.000104591636,Total Precipitation
2005-10-01,0.00011667588,Total Precipitation
2005-11-01,0.000102114536,Total Precipitation
2005-12-01,7.00E-05,Total Precipitation
2006-01-01,1.70E-05,Total Precipitation
2006-02-01,4.64E-06,Total Precipitation
2006-03-01,1.23E-06,Total Precipitation
2006-04-01,3.53E-06,Total Precipitation
2006-05-01,7.30E-06,Total Precipitation
2006-06-01,6.30E-05,Total Precipitation
2006-07-01,8.57E-05,Total Precipitation
2006-08-01,0.0001181905,Total Precipitation
2006-09-01,0.0001071579,Total Precipitation
2006-10-01,0.00013388904,Total Precipitation
2006-11-01,6.54E-05,Total Precipitation
2006-12-01,1.50E-05,Total Precipitation
2007-01-01,2.54E-06,Total Precipitation
2007-02-01,5.38E-06,Total Precipitation
2007-03-01,2.51E-06,Total Precipitation
2007-04-01,2.68E-06,Total Precipitation
2007-05-01,1.32E-05,Total Precipitation
2007-06-01,3.37E-05,Total Precipitation
2007-07-01,9.29E-05,Total Precipitation
2007-08-01,9.62E-05,Total Precipitation
2007-09-01,0.00011073016,Total Precipitation
2007-10-01,9.16E-05,Total Precipitation
2007-11-01,6.66E-05,Total Precipitation
2007-12-01,4.15E-05,Total Precipitation
2008-01-01,5.31E-06,Total Precipitation
2008-02-01,1.08E-05,Total Precipitation
2008-03-01,2.65E-06,Total Precipitation
2008-04-01,1.21E-05,Total Precipitation
2008-05-01,1.58E-05,Total Precipitation
2008-06-01,4.67E-05,Total Precipitation
2008-07-01,8.20E-05,Total Precipitation
2008-08-01,0.00011415628,Total Precipitation
2008-09-01,7.19E-05,Total Precipitation
2008-10-01,0.00014803052,Total Precipitation
2008-11-01,7.86E-05,Total Precipitation
2008-12-01,4.57E-05,Total Precipitation
2009-01-01,4.93E-06,Total Precipitation
2009-02-01,2.61E-06,Total Precipitation
2009-03-01,1.95E-06,Total Precipitation
2009-04-01,2.64E-06,Total Precipitation
2009-05-01,2.45E-06,Total Precipitation
2009-06-01,2.96E-05,Total Precipitation
2009-07-01,7.78E-05,Total Precipitation
2009-08-01,0.00011405021,Total Precipitation
2009-09-01,9.35E-05,Total Precipitation
2009-10-01,7.94E-05,Total Precipitation
2009-11-01,4.95E-05,Total Precipitation
2009-12-01,1.40E-05,Total Precipitation
2010-01-01,3.80E-06,Total Precipitation
2010-02-01,2.73E-06,Total Precipitation
2010-03-01,1.33E-06,Total Precipitation
2010-04-01,3.44E-06,Total Precipitation
2010-05-01,2.07E-05,Total Precipitation
2010-06-01,4.83E-05,Total Precipitation
2010-07-01,6.39E-05,Total Precipitation
2010-08-01,0.0001349767,Total Precipitation
2010-09-01,8.85E-05,Total Precipitation
2010-10-01,6.10E-05,Total Precipitation
2010-11-01,5.05E-05,Total Precipitation
2010-12-01,3.23E-05,Total Precipitation
2011-01-01,6.28E-06,Total Precipitation
2011-02-01,3.14E-06,Total Precipitation
2011-03-01,2.36E-06,Total Precipitation
2011-04-01,2.58E-06,Total Precipitation
2011-05-01,5.43E-06,Total Precipitation
2011-06-01,4.24E-05,Total Precipitation
2011-07-01,5.81E-05,Total Precipitation
2011-08-01,8.58E-05,Total Precipitation
2011-09-01,9.92E-05,Total Precipitation
2011-10-01,8.73E-05,Total Precipitation
2011-11-01,5.76E-05,Total Precipitation
2011-12-01,3.80E-05,Total Precipitation
2012-01-01,3.47E-06,Total Precipitation
2012-02-01,1.72E-06,Total Precipitation
2012-03-01,8.15E-07,Total Precipitation
2012-04-01,3.80E-06,Total Precipitation
2012-05-01,1.54E-05,Total Precipitation
2012-06-01,4.53E-05,Total Precipitation
2012-07-01,7.74E-05,Total Precipitation
2012-08-01,0.000113448266,Total Precipitation
2012-09-01,7.37E-05,Total Precipitation
2012-10-01,9.47E-05,Total Precipitation
2012-11-01,0.00010101568,Total Precipitation
2012-12-01,1.82E-05,Total Precipitation
2013-01-01,3.25E-06,Total Precipitation
2013-02-01,2.22E-06,Total Precipitation
2013-03-01,1.86E-06,Total Precipitation
2013-04-01,2.26E-06,Total Precipitation
2013-05-01,1.38E-05,Total Precipitation
2013-06-01,4.49E-05,Total Precipitation
2013-07-01,6.28E-05,Total Precipitation
2013-08-01,9.92E-05,Total Precipitation
2013-09-01,8.82E-05,Total Precipitation
2013-10-01,8.26E-05,Total Precipitation
2013-11-01,5.68E-05,Total Precipitation
2013-12-01,2.54E-05,Total Precipitation
2014-01-01,1.16E-05,Total Precipitation
2014-02-01,9.77E-07,Total Precipitation
2014-03-01,1.32E-06,Total Precipitation
2014-04-01,1.95E-06,Total Precipitation
2014-05-01,6.91E-06,Total Precipitation
2014-06-01,3.36E-05,Total Precipitation
2014-07-01,7.39E-05,Total Precipitation
2014-08-01,9.95E-05,Total Precipitation
2014-09-01,6.34E-05,Total Precipitation
2014-10-01,8.61E-05,Total Precipitation
2014-11-01,9.65E-05,Total Precipitation
2014-12-01,2.48E-05,Total Precipitation
2015-01-01,8.23E-06,Total Precipitation
2015-02-01,3.20E-06,Total Precipitation
2015-03-01,1.02E-06,Total Precipitation
2015-04-01,1.69E-06,Total Precipitation
2015-05-01,1.70E-05,Total Precipitation
2015-06-01,4.19E-05,Total Precipitation
2015-07-01,6.74E-05,Total Precipitation
2015-08-01,8.04E-05,Total Precipitation
2015-09-01,9.74E-05,Total Precipitation
2015-10-01,7.64E-05,Total Precipitation
2015-11-01,4.55E-05,Total Precipitation
2015-12-01,1.15E-05,Total Precipitation
2016-01-01,1.98E-06,Total Precipitation
2016-02-01,1.62E-06,Total Precipitation
2016-03-01,1.82E-06,Total Precipitation
2016-04-01,3.37E-06,Total Precipitation
2016-05-01,1.53E-05,Total Precipitation
2016-06-01,3.26E-05,Total Precipitation
2016-07-01,8.04E-05,Total Precipitation
2016-08-01,7.30E-05,Total Precipitation
2016-09-01,9.42E-05,Total Precipitation
2016-10-01,9.00E-05,Total Precipitation
2016-11-01,7.78E-05,Total Precipitation
2016-12-01,2.54E-05,Total Precipitation
2017-01-01,4.76E-06,Total Precipitation
2017-02-01,1.26E-06,Total Precipitation
2017-03-01,2.82E-06,Total Precipitation
2017-04-01,1.26E-06,Total Precipitation
2017-05-01,1.54E-05,Total Precipitation
2017-06-01,4.73E-05,Total Precipitation
2017-07-01,8.19E-05,Total Precipitation
2017-08-01,9.33E-05,Total Precipitation
2017-09-01,0.00010614101,Total Precipitation
2017-10-01,5.65E-05,Total Precipitation
2017-11-01,5.51E-05,Total Precipitation
2017-12-01,2.81E-05,Total Precipitation
2018-01-01,3.04E-06,Total Precipitation
2018-02-01,5.85E-06,Total Precipitation
2018-03-01,1.02E-06,Total Precipitation
2018-04-01,1.67E-06,Total Precipitation
2018-05-01,4.00E-06,Total Precipitation
2018-06-01,3.48E-05,Total Precipitation
2018-07-01,4.84E-05,Total Precipitation
2018-08-01,6.14E-05,Total Precipitation
2018-09-01,7.36E-05,Total Precipitation
2018-10-01,7.16E-05,Total Precipitation
2018-11-01,4.09E-05,Total Precipitation
2018-12-01,5.71E-06,Total Precipitation
2019-01-01,1.96E-06,Total Precipitation
2019-02-01,9.88E-07,Total Precipitation
2019-03-01,1.17E-06,Total Precipitation
2019-04-01,2.91E-06,Total Precipitation
2019-05-01,8.59E-06,Total Precipitation
2019-06-01,3.12E-05,Total Precipitation
2019-07-01,6.93E-05,Total Precipitation
2019-08-01,6.31E-05,Total Precipitation
2019-09-01,9.43E-05,Total Precipitation
2019-10-01,3.93E-05,Total Precipitation
2019-11-01,4.99E-05,Total Precipitation
2019-12-01,7.74E-06,Total Precipitation
2020-01-01,1.38E-06,Total Precipitation
2020-02-01,8.42E-07,Total Precipitation
2020-03-01,4.01E-06,Total Precipitation
2020-04-01,5.50E-06,Total Precipitation
2020-05-01,1.52E-05,Total Precipitation
2020-06-01,4.45E-05,Total Precipitation
2020-07-01,7.98E-05,Total Precipitation
2020-08-01,9.57E-05,Total Precipitation
2020-09-01,8.39E-05,Total Precipitation
2020-10-01,4.48E-05,Total Precipitation
2020-11-01,5.25E-05,Total Precipitation
2020-12-01,6.69E-05,Total Precipitation
2021-01-01,5.74E-06,Total Precipitation
2021-02-01,1.59E-06,Total Precipitation
2021-03-01,2.00E-06,Total Precipitation
2021-04-01,2.27E-06,Total Precipitation
2021-05-01,8.75E-06,Total Precipitation
2021-06-01,4.85E-05,Total Precipitation
2021-07-01,5.31E-05,Total Precipitation
2021-08-01,8.51E-05,Total Precipitation
2021-09-01,7.35E-05,Total Precipitation
2021-10-01,4.59E-05,Total Precipitation
2021-11-01,5.53E-05,Total Precipitation
2021-12-01,2.89E-05,Total Precipitation
2022-01-01,2.57E-05,Total Precipitation
2022-02-01,8.15E-06,Total Precipitation
2022-03-01,2.10E-06,Total Precipitation
2022-04-01,2.53E-06,Total Precipitation
2022-05-01,9.15E-06,Total Precipitation
2022-06-01,3.63E-05,Total Precipitation
2022-07-01,7.37E-05,Total Precipitation
2022-08-01,9.46E-05,Total Precipitation
2022-09-01,6.33E-05,Total Precipitation
2022-10-01,7.87E-05,Total Precipitation
2022-11-01,4.47E-05,Total Precipitation
2022-12-01,2.14E-05,Total Precipitation