Year,source,smoke
2005,Count,0
2006,Count,0.9166666667
2007,Count,1
2008,Count,1.25
2009,Count,1.833333333
2010,Count,0.1666666667
2011,Count,0.25
2012,Count,0.6666666667
2013,Count,1.75
2014,Count,0.6666666667
2015,Count,0.75
2016,Count,2.583333333
2017,Count,1.666666667
2018,Count,2
2019,Count,0.3333333333
2020,Count,6
2021,Count,5.416666667
2022,Count,1.583333333
2005,Trendline,0.1215277778
2006,Trendline,0.2395833333
2007,Trendline,0.3576388889
2008,Trendline,0.4756944444
2009,Trendline,0.59375
2010,Trendline,0.7118055556
2011,Trendline,0.8298611111
2012,Trendline,0.9479166667
2013,Trendline,1.065972222
2014,Trendline,1.184027778
2015,Trendline,1.302083333
2016,Trendline,1.420138889
2017,Trendline,1.538194444
2018,Trendline,1.65625
2019,Trendline,1.774305556
2020,Trendline,1.892361111
2021,Trendline,2.010416667
2022,Trendline,2.128472222