Date,Tornado_Count,Daily Reports,Source
1/1,0,0,Cumulative SPC Tornado Reports
1/2,0,0,Cumulative SPC Tornado Reports
1/3,0,0,Cumulative SPC Tornado Reports
1/4,1,1,Cumulative SPC Tornado Reports
1/5,1,0,Cumulative SPC Tornado Reports
1/6,2,1,Cumulative SPC Tornado Reports
1/7,2,0,Cumulative SPC Tornado Reports
1/8,21,19,Cumulative SPC Tornado Reports
1/9,46,25,Cumulative SPC Tornado Reports
1/10,46,0,Cumulative SPC Tornado Reports
1/11,46,0,Cumulative SPC Tornado Reports
1/12,46,0,Cumulative SPC Tornado Reports
1/13,46,0,Cumulative SPC Tornado Reports
1/14,46,0,Cumulative SPC Tornado Reports
1/15,50,4,Cumulative SPC Tornado Reports
1/16,50,0,Cumulative SPC Tornado Reports
1/17,50,0,Cumulative SPC Tornado Reports
1/18,50,0,Cumulative SPC Tornado Reports
1/19,50,0,Cumulative SPC Tornado Reports
1/20,50,0,Cumulative SPC Tornado Reports
1/21,50,0,Cumulative SPC Tornado Reports
1/22,50,0,Cumulative SPC Tornado Reports
1/23,50,0,Cumulative SPC Tornado Reports
1/24,50,0,Cumulative SPC Tornado Reports
1/25,50,0,Cumulative SPC Tornado Reports
1/26,50,0,Cumulative SPC Tornado Reports
1/27,52,2,Cumulative SPC Tornado Reports
1/28,52,0,Cumulative SPC Tornado Reports
1/29,52,0,Cumulative SPC Tornado Reports
1/30,52,0,Cumulative SPC Tornado Reports
1/31,52,0,Cumulative SPC Tornado Reports
2/1,52,0,Cumulative SPC Tornado Reports
2/2,54,2,Cumulative SPC Tornado Reports
2/3,54,0,Cumulative SPC Tornado Reports
2/4,60,6,Cumulative SPC Tornado Reports
2/5,60,0,Cumulative SPC Tornado Reports
2/6,60,0,Cumulative SPC Tornado Reports
2/7,64,4,Cumulative SPC Tornado Reports
2/8,70,6,Cumulative SPC Tornado Reports
2/9,74,4,Cumulative SPC Tornado Reports
2/10,74,0,Cumulative SPC Tornado Reports
2/11,75,1,Cumulative SPC Tornado Reports
2/12,75,0,Cumulative SPC Tornado Reports
2/13,75,0,Cumulative SPC Tornado Reports
2/14,75,0,Cumulative SPC Tornado Reports
2/15,75,0,Cumulative SPC Tornado Reports
2/16,75,0,Cumulative SPC Tornado Reports
2/17,75,0,Cumulative SPC Tornado Reports
2/18,80,5,Cumulative SPC Tornado Reports
2/19,80,0,Cumulative SPC Tornado Reports
2/20,80,0,Cumulative SPC Tornado Reports
2/21,80,0,Cumulative SPC Tornado Reports
2/22,80,0,Cumulative SPC Tornado Reports
2/23,80,0,Cumulative SPC Tornado Reports
2/24,80,0,Cumulative SPC Tornado Reports
2/25,80,0,Cumulative SPC Tornado Reports
2/26,80,0,Cumulative SPC Tornado Reports
2/27,112,32,Cumulative SPC Tornado Reports
2/28,115,3,Cumulative SPC Tornado Reports
2/29,115,0,Cumulative SPC Tornado Reports
3/1,117,2,Cumulative SPC Tornado Reports
3/2,117,0,Cumulative SPC Tornado Reports
3/3,117,0,Cumulative SPC Tornado Reports
3/4,118,1,Cumulative SPC Tornado Reports
3/5,121,3,Cumulative SPC Tornado Reports
3/6,121,0,Cumulative SPC Tornado Reports
3/7,121,0,Cumulative SPC Tornado Reports
3/8,122,1,Cumulative SPC Tornado Reports
3/9,125,3,Cumulative SPC Tornado Reports
3/10,125,0,Cumulative SPC Tornado Reports
3/11,125,0,Cumulative SPC Tornado Reports
3/12,125,0,Cumulative SPC Tornado Reports
3/13,130,5,Cumulative SPC Tornado Reports
3/14,167,37,Cumulative SPC Tornado Reports
3/15,169,2,Cumulative SPC Tornado Reports
3/16,169,0,Cumulative SPC Tornado Reports
3/17,169,0,Cumulative SPC Tornado Reports
3/18,170,1,Cumulative SPC Tornado Reports
3/19,170,0,Cumulative SPC Tornado Reports
3/20,170,0,Cumulative SPC Tornado Reports
3/21,170,0,Cumulative SPC Tornado Reports
3/22,170,0,Cumulative SPC Tornado Reports
3/23,170,0,Cumulative SPC Tornado Reports
3/24,181,11,Cumulative SPC Tornado Reports
3/25,183,2,Cumulative SPC Tornado Reports
3/26,185,2,Cumulative SPC Tornado Reports
3/27,185,0,Cumulative SPC Tornado Reports
3/28,185,0,Cumulative SPC Tornado Reports
3/29,185,0,Cumulative SPC Tornado Reports
3/30,185,0,Cumulative SPC Tornado Reports
3/31,185,0,Cumulative SPC Tornado Reports
4/1,224,39,Cumulative SPC Tornado Reports
4/2,292,68,Cumulative SPC Tornado Reports
4/3,295,3,Cumulative SPC Tornado Reports
4/4,295,0,Cumulative SPC Tornado Reports
4/5,295,0,Cumulative SPC Tornado Reports
4/6,295,0,Cumulative SPC Tornado Reports
4/7,297,2,Cumulative SPC Tornado Reports
4/8,297,0,Cumulative SPC Tornado Reports
4/9,311,14,Cumulative SPC Tornado Reports
4/10,334,23,Cumulative SPC Tornado Reports
4/11,339,5,Cumulative SPC Tornado Reports
4/12,341,2,Cumulative SPC Tornado Reports
4/13,341,0,Cumulative SPC Tornado Reports
4/14,341,0,Cumulative SPC Tornado Reports
4/15,349,8,Cumulative SPC Tornado Reports
4/16,375,26,Cumulative SPC Tornado Reports
4/17,380,5,Cumulative SPC Tornado Reports
4/18,393,13,Cumulative SPC Tornado Reports
4/19,393,0,Cumulative SPC Tornado Reports
4/20,393,0,Cumulative SPC Tornado Reports
4/21,393,0,Cumulative SPC Tornado Reports
4/22,393,0,Cumulative SPC Tornado Reports
4/23,393,0,Cumulative SPC Tornado Reports
4/24,393,0,Cumulative SPC Tornado Reports
4/25,404,11,Cumulative SPC Tornado Reports
4/26,553,149,Cumulative SPC Tornado Reports
4/27,604,51,Cumulative SPC Tornado Reports
4/28,623,19,Cumulative SPC Tornado Reports
4/29,624,1,Cumulative SPC Tornado Reports
4/30,640,16,Cumulative SPC Tornado Reports
5/1,661,21,Cumulative SPC Tornado Reports
5/2,674,13,Cumulative SPC Tornado Reports
5/3,689,15,Cumulative SPC Tornado Reports
5/4,695,6,Cumulative SPC Tornado Reports
5/5,696,1,Cumulative SPC Tornado Reports
5/6,746,50,Cumulative SPC Tornado Reports
5/7,818,72,Cumulative SPC Tornado Reports
5/8,892,74,Cumulative SPC Tornado Reports
5/9,908,16,Cumulative SPC Tornado Reports
5/10,909,1,Cumulative SPC Tornado Reports
5/11,927,18,Cumulative SPC Tornado Reports
5/12,938,11,Cumulative SPC Tornado Reports
5/13,953,15,Cumulative SPC Tornado Reports
5/14,957,4,Cumulative SPC Tornado Reports
5/15,957,0,Cumulative SPC Tornado Reports
5/16,964,7,Cumulative SPC Tornado Reports
5/17,971,7,Cumulative SPC Tornado Reports
5/18,971,0,Cumulative SPC Tornado Reports
5/19,991,20,Cumulative SPC Tornado Reports
5/20,997,6,Cumulative SPC Tornado Reports
5/21,1046,49,Cumulative SPC Tornado Reports
5/22,1053,7,Cumulative SPC Tornado Reports
5/23,1111,58,Cumulative SPC Tornado Reports
5/24,1130,19,Cumulative SPC Tornado Reports
5/25,1178,48,Cumulative SPC Tornado Reports
5/26,1252,74,Cumulative SPC Tornado Reports
5/27,1258,6,Cumulative SPC Tornado Reports
5/28,1260,2,Cumulative SPC Tornado Reports
5/29,1268,8,Cumulative SPC Tornado Reports
5/30,1282,14,Cumulative SPC Tornado Reports
5/31,1288,6,Cumulative SPC Tornado Reports